	Terms
HK3	hsa00010,hsa00051,hsa00052,hsa00500,hsa00520,hsa00524,hsa04066,hsa04910,hsa04930,hsa04973,hsa05131,hsa05230
HK1	hsa00010,hsa00051,hsa00052,hsa00500,hsa00520,hsa00524,hsa04066,hsa04910,hsa04930,hsa04973,hsa05131,hsa05230
HK2	hsa00010,hsa00051,hsa00052,hsa00500,hsa00520,hsa00524,hsa04066,hsa04910,hsa04930,hsa04973,hsa05131,hsa05230
HKDC1	hsa00010,hsa00051,hsa00052,hsa00500,hsa00520,hsa00524,hsa04066,hsa04910,hsa04930,hsa04973,hsa05131,hsa05230
GCK	hsa00010,hsa00052,hsa00500,hsa00520,hsa00524,hsa04910,hsa04911,hsa04917,hsa04922,hsa04930,hsa04950,hsa05230
GPI	hsa00010,hsa00030,hsa00500,hsa00520
PFKM	hsa00010,hsa00030,hsa00051,hsa00052,hsa03018,hsa04066,hsa04152,hsa04919,hsa04922,hsa05230
PFKP	hsa00010,hsa00030,hsa00051,hsa00052,hsa03018,hsa04066,hsa04152,hsa04919,hsa04922,hsa05230
PFKL	hsa00010,hsa00030,hsa00051,hsa00052,hsa03018,hsa04066,hsa04152,hsa04919,hsa04922,hsa05230
FBP1	hsa00010,hsa00030,hsa00051,hsa04152,hsa04910,hsa04922
FBP2	hsa00010,hsa00030,hsa00051,hsa04152,hsa04910,hsa04922
ALDOC	hsa00010,hsa00030,hsa00051,hsa04066
ALDOA	hsa00010,hsa00030,hsa00051,hsa04066
ALDOB	hsa00010,hsa00030,hsa00051,hsa04066
TPI1	hsa00010,hsa00051,hsa00562
GAPDH	hsa00010,hsa04066,hsa05010,hsa05130,hsa05132,hsa05415
GAPDHS	hsa00010
PGK2	hsa00010,hsa04066
PGK1	hsa00010,hsa04066
PGAM1	hsa00010,hsa00260,hsa04922,hsa05230
PGAM2	hsa00010,hsa00260,hsa04922,hsa05230
PGAM4	hsa00010,hsa00260,hsa04922,hsa05230
ENO3	hsa00010,hsa03018,hsa04066
ENO2	hsa00010,hsa03018,hsa04066
ENO1	hsa00010,hsa03018,hsa04066
ENO4	hsa00010,hsa03018,hsa04066
PKM	hsa00010,hsa00230,hsa00620,hsa04922,hsa04930,hsa05165,hsa05203,hsa05230
PKLR	hsa00010,hsa00230,hsa00620,hsa04910,hsa04930,hsa04932,hsa04950
PDHA2	hsa00010,hsa00020,hsa00620,hsa04066,hsa04922,hsa05230,hsa05415
PDHA1	hsa00010,hsa00020,hsa00620,hsa04066,hsa04922,hsa05230,hsa05415
PDHB	hsa00010,hsa00020,hsa00620,hsa04066,hsa04922,hsa05230,hsa05415
DLAT	hsa00010,hsa00020,hsa00620
DLD	hsa00010,hsa00020,hsa00260,hsa00280,hsa00310,hsa00380,hsa00620,hsa00630,hsa00640
LDHAL6A	hsa00010,hsa00270,hsa00620,hsa00640,hsa04066,hsa04922,hsa05230
LDHAL6B	hsa00010,hsa00270,hsa00620,hsa00640,hsa04066,hsa04922,hsa05230
LDHA	hsa00010,hsa00270,hsa00620,hsa00640,hsa04066,hsa04922,hsa05230
LDHB	hsa00010,hsa00270,hsa00620,hsa00640,hsa04066,hsa04922,hsa05230
LDHC	hsa00010,hsa00270,hsa00620,hsa00640,hsa04066,hsa04922,hsa05230
ADH1A	hsa00010,hsa00071,hsa00350,hsa00620,hsa00830,hsa00980,hsa00982,hsa04936
ADH1B	hsa00010,hsa00071,hsa00350,hsa00620,hsa00830,hsa00980,hsa00982,hsa04936
ADH1C	hsa00010,hsa00071,hsa00350,hsa00620,hsa00830,hsa00980,hsa00982,hsa04936
ADH7	hsa00010,hsa00071,hsa00350,hsa00620,hsa00830,hsa00980,hsa00982,hsa04936
ADH4	hsa00010,hsa00071,hsa00350,hsa00620,hsa00830,hsa00980,hsa00982,hsa04936
ADH5	hsa00010,hsa00071,hsa00350,hsa00620,hsa00830,hsa00980,hsa00982,hsa04936
ADH6	hsa00010,hsa00071,hsa00350,hsa00620,hsa00830,hsa00980,hsa00982,hsa04936
AKR1A1	hsa00010,hsa00040,hsa00053,hsa00561,hsa00620,hsa05208
ALDH2	hsa00010,hsa00053,hsa00071,hsa00280,hsa00310,hsa00330,hsa00340,hsa00380,hsa00410,hsa00561,hsa00620,hsa00770,hsa04936
ALDH3A2	hsa00010,hsa00053,hsa00071,hsa00280,hsa00310,hsa00330,hsa00340,hsa00380,hsa00410,hsa00561,hsa00620,hsa00770,hsa04936
ALDH1B1	hsa00010,hsa00053,hsa00071,hsa00280,hsa00310,hsa00330,hsa00340,hsa00380,hsa00410,hsa00561,hsa00620,hsa00770,hsa04936
ALDH7A1	hsa00010,hsa00053,hsa00071,hsa00260,hsa00280,hsa00310,hsa00330,hsa00340,hsa00380,hsa00410,hsa00561,hsa00620,hsa04936
ALDH9A1	hsa00010,hsa00053,hsa00071,hsa00280,hsa00310,hsa00330,hsa00340,hsa00380,hsa00410,hsa00561,hsa00620,hsa04936
ALDH3B1	hsa00010,hsa00340,hsa00350,hsa00360,hsa00410,hsa00980,hsa00982
ALDH3B2	hsa00010,hsa00340,hsa00350,hsa00360,hsa00410,hsa00980,hsa00982
ALDH3A1	hsa00010,hsa00340,hsa00350,hsa00360,hsa00410,hsa00980,hsa00982
ACSS1	hsa00010,hsa00620,hsa00630,hsa00640
ACSS2	hsa00010,hsa00620,hsa00630,hsa00640
GALM	hsa00010,hsa00052
PGM1	hsa00010,hsa00030,hsa00052,hsa00230,hsa00500,hsa00520
PGM2	hsa00010,hsa00030,hsa00052,hsa00230,hsa00500,hsa00520
G6PC1	hsa00010,hsa00052,hsa00500,hsa04068,hsa04151,hsa04152,hsa04910,hsa04920,hsa04922,hsa04931,hsa04973
G6PC2	hsa00010,hsa00052,hsa00500,hsa04068,hsa04151,hsa04152,hsa04910,hsa04920,hsa04922,hsa04931,hsa04973
G6PC3	hsa00010,hsa00052,hsa00500,hsa04068,hsa04151,hsa04152,hsa04910,hsa04920,hsa04922,hsa04931,hsa04973
ADPGK	hsa00010
BPGM	hsa00010,hsa00260
MINPP1	hsa00010,hsa00562
PCK1	hsa00010,hsa00020,hsa00620,hsa03320,hsa04068,hsa04151,hsa04152,hsa04910,hsa04920,hsa04922,hsa04931,hsa04964
PCK2	hsa00010,hsa00020,hsa00620,hsa03320,hsa04068,hsa04151,hsa04152,hsa04910,hsa04920,hsa04922,hsa04931,hsa04964
CS	hsa00020,hsa00630
ACLY	hsa00020
ACO2	hsa00020,hsa00630
ACO1	hsa00020,hsa00630
IDH1	hsa00020,hsa00480,hsa04146,hsa05230
IDH2	hsa00020,hsa00480,hsa04146,hsa05230
IDH3B	hsa00020
IDH3G	hsa00020
IDH3A	hsa00020
OGDHL	hsa00020
OGDH	hsa00020
DLST	hsa00020,hsa00310,hsa00380
SUCLG1	hsa00020,hsa00640
SUCLG2	hsa00020,hsa00640
SUCLA2	hsa00020,hsa00640
SDHA	hsa00020,hsa00190,hsa04714,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
SDHB	hsa00020,hsa00190,hsa04714,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
SDHC	hsa00020,hsa00190,hsa04714,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
SDHD	hsa00020,hsa00190,hsa04714,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
FH	hsa00020,hsa00620,hsa04934,hsa05200,hsa05211
MDH1	hsa00020,hsa00270,hsa00620,hsa00630,hsa04964
MDH2	hsa00020,hsa00270,hsa00620,hsa00630
PC	hsa00020,hsa00620
G6PD	hsa00030,hsa00480,hsa05230,hsa05415
PGLS	hsa00030
H6PD	hsa00030
PGD	hsa00030,hsa00480
RPE	hsa00030,hsa00040
RPEL1	hsa00030,hsa00040
TKT	hsa00030
TKTL2	hsa00030
TKTL1	hsa00030
TALDO1	hsa00030
RPIA	hsa00030
DERA	hsa00030
RBKS	hsa00030
PRPS1L1	hsa00030,hsa00230
PRPS2	hsa00030,hsa00230
PRPS1	hsa00030,hsa00230
RGN	hsa00030,hsa00053
IDNK	hsa00030
GLYCTK	hsa00030,hsa00260,hsa00561,hsa00630
GUSB	hsa00040,hsa00053,hsa00531,hsa00860,hsa00983,hsa04142
KL	hsa00040,hsa00053,hsa04211,hsa04928,hsa04961
UGT2A1	hsa00040,hsa00053,hsa00140,hsa00830,hsa00860,hsa00980,hsa00982,hsa00983,hsa04976,hsa05204,hsa05207
UGT2A3	hsa00040,hsa00053,hsa00140,hsa00830,hsa00860,hsa00980,hsa00982,hsa00983,hsa04976,hsa05204,hsa05207
UGT2B17	hsa00040,hsa00053,hsa00140,hsa00830,hsa00860,hsa00980,hsa00982,hsa00983,hsa04976,hsa05204,hsa05207
UGT2B11	hsa00040,hsa00053,hsa00140,hsa00830,hsa00860,hsa00980,hsa00982,hsa00983,hsa04976,hsa05204,hsa05207
UGT2B28	hsa00040,hsa00053,hsa00140,hsa00830,hsa00860,hsa00980,hsa00982,hsa00983,hsa04976,hsa05204,hsa05207
UGT1A6	hsa00040,hsa00053,hsa00140,hsa00830,hsa00860,hsa00980,hsa00982,hsa00983,hsa04976,hsa05204,hsa05207
UGT1A4	hsa00040,hsa00053,hsa00140,hsa00830,hsa00860,hsa00980,hsa00982,hsa00983,hsa04976,hsa05204,hsa05207
UGT1A1	hsa00040,hsa00053,hsa00140,hsa00830,hsa00860,hsa00980,hsa00982,hsa00983,hsa04976,hsa05204,hsa05207
UGT1A3	hsa00040,hsa00053,hsa00140,hsa00830,hsa00860,hsa00980,hsa00982,hsa00983,hsa04976,hsa05204,hsa05207
UGT2B10	hsa00040,hsa00053,hsa00140,hsa00830,hsa00860,hsa00980,hsa00982,hsa00983,hsa04976,hsa05204,hsa05207
UGT1A9	hsa00040,hsa00053,hsa00140,hsa00830,hsa00860,hsa00980,hsa00982,hsa00983,hsa04976,hsa05204,hsa05207
UGT2B7	hsa00040,hsa00053,hsa00140,hsa00830,hsa00860,hsa00980,hsa00982,hsa00983,hsa04976,hsa05204,hsa05207
UGT1A10	hsa00040,hsa00053,hsa00140,hsa00830,hsa00860,hsa00980,hsa00982,hsa00983,hsa04976,hsa05204,hsa05207
UGT1A8	hsa00040,hsa00053,hsa00140,hsa00830,hsa00860,hsa00980,hsa00982,hsa00983,hsa04976,hsa05204,hsa05207
UGT1A5	hsa00040,hsa00053,hsa00140,hsa00830,hsa00860,hsa00980,hsa00982,hsa00983,hsa04976,hsa05204,hsa05207
UGT2B15	hsa00040,hsa00053,hsa00140,hsa00830,hsa00860,hsa00980,hsa00982,hsa00983,hsa04976,hsa05204,hsa05207
UGT1A7	hsa00040,hsa00053,hsa00140,hsa00830,hsa00860,hsa00980,hsa00982,hsa00983,hsa04976,hsa05204,hsa05207
UGT2B4	hsa00040,hsa00053,hsa00140,hsa00830,hsa00860,hsa00980,hsa00982,hsa00983,hsa04976,hsa05204,hsa05207
UGT2A2	hsa00040,hsa00053,hsa00140,hsa00830,hsa00860,hsa00980,hsa00982,hsa00983,hsa04976,hsa05204,hsa05207
UGDH	hsa00040,hsa00053,hsa00520
UGP2	hsa00040,hsa00052,hsa00500,hsa00520
CRYL1	hsa00040
XYLB	hsa00040
AKR1B1	hsa00040,hsa00051,hsa00052,hsa00561,hsa00790
AKR1B10	hsa00040,hsa00051,hsa00052,hsa00561,hsa00790
DCXR	hsa00040
SORD	hsa00040,hsa00051
DHDH	hsa00040,hsa00980
CRPPA	hsa00040,hsa00515
MPI	hsa00051,hsa00520
PMM2	hsa00051,hsa00520
PMM1	hsa00051,hsa00520
GMPPB	hsa00051,hsa00520
GMPPA	hsa00051,hsa00520
GMDS	hsa00051,hsa00520
GFUS	hsa00051,hsa00520
FPGT	hsa00051,hsa00520
FCSK	hsa00051,hsa00520
ENOSF1	hsa00051
PFKFB1	hsa00051,hsa04152,hsa04922
PFKFB2	hsa00051,hsa04152,hsa04919
PFKFB3	hsa00051,hsa04066,hsa04152
PFKFB4	hsa00051,hsa04152
TIGAR	hsa00051,hsa05230
KHK	hsa00051
TKFC	hsa00051,hsa00561,hsa04622
GALK1	hsa00052,hsa00520
GALT	hsa00052,hsa00520,hsa04917
GALE	hsa00052,hsa00520
GLB1	hsa00052,hsa00511,hsa00531,hsa00600,hsa00604,hsa04142
LCT	hsa00052,hsa04973
LALBA	hsa00052
B4GALT1	hsa00052,hsa00510,hsa00513,hsa00514,hsa00515,hsa00533,hsa00601
B4GALT2	hsa00052,hsa00510,hsa00513,hsa00514,hsa00515,hsa00533,hsa00601
GLA	hsa00052,hsa00561,hsa00600,hsa00603,hsa04142
MGAM	hsa00052,hsa00500,hsa04973
MGAM2	hsa00052,hsa00500,hsa04973
GAA	hsa00052,hsa00500,hsa04142
GANC	hsa00052,hsa00500
SI	hsa00052,hsa00500,hsa04973
MIOX	hsa00053,hsa00562
ACACA	hsa00061,hsa00620,hsa00640,hsa04152,hsa04910,hsa04922,hsa04936
ACACB	hsa00061,hsa00620,hsa00640,hsa04152,hsa04910,hsa04920,hsa04922,hsa04931,hsa04936
ACSF3	hsa00061,hsa00280
MCAT	hsa00061
FASN	hsa00061,hsa04152,hsa04910,hsa04936
OXSM	hsa00061,hsa00780
CBR4	hsa00061
HSD17B8	hsa00061,hsa00140
HTD2	hsa00061
MECR	hsa00061,hsa00062
OLAH	hsa00061
ACSL6	hsa00061,hsa00071,hsa03320,hsa04146,hsa04216,hsa04714,hsa04920
ACSL4	hsa00061,hsa00071,hsa03320,hsa04146,hsa04216,hsa04714,hsa04920
ACSL1	hsa00061,hsa00071,hsa03320,hsa04146,hsa04216,hsa04714,hsa04920
ACSL5	hsa00061,hsa00071,hsa03320,hsa04146,hsa04216,hsa04714,hsa04920
ACSL3	hsa00061,hsa00071,hsa03320,hsa04146,hsa04216,hsa04714,hsa04920
ACSBG1	hsa00061,hsa00071,hsa03320,hsa04920
ACSBG2	hsa00061,hsa00071,hsa03320,hsa04920
ACAA2	hsa00062,hsa00071,hsa00280
HADHB	hsa00062,hsa00071,hsa00280
HADH	hsa00062,hsa00071,hsa00280,hsa00310,hsa00380,hsa00650
HADHA	hsa00062,hsa00071,hsa00280,hsa00310,hsa00380,hsa00410,hsa00640,hsa00650
ECHS1	hsa00062,hsa00071,hsa00280,hsa00310,hsa00380,hsa00410,hsa00640,hsa00650
PPT1	hsa00062,hsa04142
PPT2	hsa00062,hsa04142
ELOVL1	hsa00062,hsa01040
ELOVL2	hsa00062,hsa01040
ELOVL3	hsa00062,hsa01040
ELOVL4	hsa00062,hsa01040
ELOVL5	hsa00062,hsa01040
ELOVL6	hsa00062,hsa01040
ELOVL7	hsa00062,hsa01040
HSD17B12	hsa00062,hsa00140,hsa01040
HACD2	hsa00062,hsa01040
HACD1	hsa00062,hsa01040
HACD4	hsa00062,hsa01040
HACD3	hsa00062,hsa01040
TECR	hsa00062,hsa01040
ACOT4	hsa00062,hsa01040,hsa04913
ACOT2	hsa00062,hsa01040,hsa04913
ACOT1	hsa00062,hsa01040,hsa04913
ACOT7	hsa00062,hsa01040
THEM4	hsa00062,hsa04151
THEM5	hsa00062
ACAT2	hsa00071,hsa00280,hsa00310,hsa00380,hsa00620,hsa00630,hsa00650,hsa00900,hsa04975
ACAT1	hsa00071,hsa00280,hsa00310,hsa00380,hsa00620,hsa00630,hsa00650,hsa00900,hsa04975
ACAA1	hsa00071,hsa00280,hsa00592,hsa01040,hsa03320,hsa04146
EHHADH	hsa00071,hsa00280,hsa00310,hsa00380,hsa00410,hsa00640,hsa00650,hsa03320,hsa04146
ACOX3	hsa00071,hsa00410,hsa00592,hsa00640,hsa01040,hsa03320,hsa04024,hsa04146,hsa04936
ACOX1	hsa00071,hsa00410,hsa00592,hsa00640,hsa01040,hsa03320,hsa04024,hsa04146,hsa04936
ACADS	hsa00071,hsa00280,hsa00410,hsa00640,hsa00650
ACADM	hsa00071,hsa00280,hsa03320,hsa04936
ACADL	hsa00071,hsa03320
ACADSB	hsa00071,hsa00280
ACADVL	hsa00071,hsa04936
GCDH	hsa00071,hsa00310,hsa00380
CPT1A	hsa00071,hsa03320,hsa04152,hsa04714,hsa04920,hsa04922,hsa04931,hsa04936
CPT1B	hsa00071,hsa03320,hsa04152,hsa04714,hsa04920,hsa04922,hsa04931,hsa04936,hsa05415
CPT1C	hsa00071,hsa03320,hsa04152,hsa04714,hsa04920,hsa04922,hsa04936
CPT2	hsa00071,hsa03320,hsa04714,hsa05415
ECI1	hsa00071
ECI2	hsa00071,hsa04146
CYP2U1	hsa00071,hsa00590
FDFT1	hsa00100
SQLE	hsa00100
LSS	hsa00100
CYP51A1	hsa00100
TM7SF2	hsa00100
LBR	hsa00100
MSMO1	hsa00100
NSDHL	hsa00100
HSD17B7	hsa00100,hsa00140,hsa04913
EBP	hsa00100
DHCR24	hsa00100
SC5D	hsa00100
DHCR7	hsa00100
LIPA	hsa00100,hsa04142,hsa04979
CEL	hsa00100,hsa00561,hsa04972,hsa04975
SOAT2	hsa00100,hsa04979
SOAT1	hsa00100,hsa04979
CYP2R1	hsa00100
CYP27B1	hsa00100,hsa04928,hsa05152
CYP24A1	hsa00100,hsa04928,hsa05206
CYP46A1	hsa00120
CYP39A1	hsa00120
HSD3B7	hsa00120
CH25H	hsa00120
CYP7B1	hsa00120,hsa00140
CYP7A1	hsa00120,hsa00140,hsa03320,hsa04976,hsa04979
CYP27A1	hsa00120,hsa03320,hsa04979
CYP8B1	hsa00120,hsa03320
AKR1D1	hsa00120,hsa00140
AKR1C4	hsa00120,hsa00140,hsa05208
SLC27A5	hsa00120,hsa03320,hsa04931,hsa04976
AMACR	hsa00120,hsa04146
