	Terms
A1BG	R-HSA-109582,R-HSA-114608,R-HSA-168249,R-HSA-168256,R-HSA-6798695,R-HSA-76002,R-HSA-76005
A1CF	R-HSA-72200,R-HSA-75072,R-HSA-75094,R-HSA-8953854
A2M	R-HSA-109582,R-HSA-114608,R-HSA-140837,R-HSA-140877,R-HSA-1474228,R-HSA-1474244,R-HSA-174824,R-HSA-382551,R-HSA-76002,R-HSA-76005,R-HSA-8963896,R-HSA-8963898
A4GNT	R-HSA-392499,R-HSA-5173105,R-HSA-597592,R-HSA-913709
AAAS	R-HSA-1169408,R-HSA-1169410,R-HSA-1280215,R-HSA-1430728,R-HSA-159227,R-HSA-159230,R-HSA-159231,R-HSA-159234,R-HSA-159236,R-HSA-162582,R-HSA-162587,R-HSA-162599,R-HSA-162906,R-HSA-162906,R-HSA-162909,R-HSA-162909,R-HSA-1640170,R-HSA-1643685,R-HSA-1643685,R-HSA-165054,R-HSA-168255,R-HSA-168256,R-HSA-168271,R-HSA-168273,R-HSA-168274,R-HSA-168276,R-HSA-168325,R-HSA-168333,R-HSA-170822,R-HSA-176033,R-HSA-177243,R-HSA-177243,R-HSA-180746,R-HSA-180910,R-HSA-191859,R-HSA-194315,R-HSA-194441,R-HSA-211000,R-HSA-2262752,R-HSA-2980766,R-HSA-2990846,R-HSA-2990846,R-HSA-3108214,R-HSA-3108232,R-HSA-3108232,R-HSA-3232142,R-HSA-3301854,R-HSA-3371453,R-HSA-3371556,R-HSA-392499,R-HSA-392499,R-HSA-4085377,R-HSA-4551638,R-HSA-4570464,R-HSA-4615885,R-HSA-4615885,R-HSA-5578749,R-HSA-5619102,R-HSA-5619107,R-HSA-5619115,R-HSA-5663205,R-HSA-5663205,R-HSA-597592,R-HSA-597592,R-HSA-6784531,R-HSA-68875,R-HSA-68886,R-HSA-69278,R-HSA-70171,R-HSA-70326,R-HSA-71387,R-HSA-72202,R-HSA-72203,R-HSA-72306,R-HSA-74160,R-HSA-8953854,R-HSA-8953897,R-HSA-8980692,R-HSA-9012999,R-HSA-913531,R-HSA-9609646,R-HSA-9609690,R-HSA-9610379,R-HSA-9716542
AACS	R-HSA-1430728,R-HSA-556833,R-HSA-74182,R-HSA-77111
AADAC	R-HSA-1430728,R-HSA-211859,R-HSA-211945
AADAT	R-HSA-1430728,R-HSA-71064,R-HSA-71240,R-HSA-71291
AAK1	R-HSA-199991,R-HSA-5653656,R-HSA-8856825,R-HSA-8856828
AAMP	R-HSA-109582,R-HSA-162582,R-HSA-168249,R-HSA-168256,R-HSA-168638,R-HSA-168643,R-HSA-177929,R-HSA-194138,R-HSA-392518,R-HSA-428930,R-HSA-76002,R-HSA-9006934
AANAT	R-HSA-1430728,R-HSA-209776,R-HSA-209931,R-HSA-71291
AARS1	R-HSA-379716,R-HSA-379724,R-HSA-392499,R-HSA-72766
AARS2	R-HSA-379724,R-HSA-379726,R-HSA-392499,R-HSA-72766
AASDHPPT	R-HSA-1430728,R-HSA-196849,R-HSA-196854,R-HSA-199220
AASS	R-HSA-1430728,R-HSA-71064,R-HSA-71291
AATF	R-HSA-162582,R-HSA-193648,R-HSA-193704,R-HSA-204998,R-HSA-73887
ABAT	R-HSA-112310,R-HSA-112315,R-HSA-112316,R-HSA-888590,R-HSA-916853
