	Genes
GO:0000002	Akt3,Gimap3,Mef2a,Mgme1,Mpv17,Mrpl15,Mrpl17,Mrpl39,Opa1,Slc25a33,Slc25a36,Tymp
GO:0000003	Gnrh1,Lin9
GO:0000009	Pigv,Alg12
GO:0000010	Pdss1,Pdss1,Pdss2,Pdss2
GO:0000012	Aplf,Aptx,Aptx,Aptx,Ercc6,Ercc8,Lig4,Sirt1,Smc2,Smc4,Tdp1,Tdp1,Tdp1,Tnp1,Trpc2,Xrcc1,Aptx,Tdp1
GO:0000014	Dclre1c,Ercc1,Mre11a,Ptbp1,Rad50,Rbbp8,Setmar,Mre11a,Ercc4,Endog,Exog
GO:0000015	Eno1,Eno1b,Eno1b,Eno2,Eno1,Eno4,Eno3,Eno2
GO:0000016	Lct,Lct
GO:0000017	Slc5a1,Slc5a2
GO:0000018	Alyref,Alyref2,Smarcad1,Thoc1
GO:0000019	Rad50
GO:0000026	Pigz,Alg9,Pigb,Pigz
GO:0000027	Bop1,Mdn1,Mrto4,mt-Rnr2,Nop2,Nop53,Rpl11,Rpl24,Rpl5,Rrs1,Rpl5,Brix1,Mrpl20,Rpl6,Rpl23a,Mdn1,Rpl3l,Ppan,Rpl10,Rpl10l,Rplp0,Rpl3,Nle1,Nop53,Rpf2,Traf7
GO:0000028	Eral1,mt-Rnr1,Rps14,Rps14,Rps15,Rps19,Rps2,Rps25,Rrp7a,Rpsa,Mrps7,Rps15,Mrps11,Eral1,Rps27,Rps28,Rps14,Rps5,Rps19,Rps27l,Pwp2
GO:0000030	Alg12,Alg3,Pigb,Pigm,Pigv,Pigz,Pomt1,Pomt2,Tmtc1,Tmtc2,Tmtc3,Tmtc4,Dpy19l4,Dpy19l1,Dpy19l2,Alg1,Dpy19l3,Pigb,Pigz,Pigm,Alg9,Pigv,Alg12
GO:0000032	Gmppb,Mpi
GO:0000033	Alg2,Alg3,Alg8,Alg2
GO:0000035	Ndufab1
GO:0000036	Ndufab1
GO:0000038	Abcd1,Abcd1,Abcd2,Abcd2,Abcd3,Acaa1a,Acaa1b,Acot1,Acot2,Acot3,Acot3,Acot4,Acot5,Acot5,Acox1,Acsbg1,Acsbg1,Acsl1,Elovl2,Hsd17b4,Pex2,Pex5,Slc27a2,Slc27a4,Slc27a4,Slc27a4,Slc27a5,Slc27a5,Acox2,Acsl6,Acox1,Acsl1
GO:0000041	Slc11a2
GO:0000045	Ambra1,Atg101,Atg12,Atg13,Atg13,Atg14,Atg16l1,Atg16l2,Atg2a,Atg3,Atg3,Atg4b,Atg5,Atg5,Atg5,Atg7,Atg7,Atg9a,Atg9a,Atg9a,Atg9a,Atg9b,Atp2a2,Bag3,Becn1,Becn1,Ctsd,Elapor1,Emc6,Epm2a,Igtp,Irgm1,Irgm1,Map1lc3a,Map1lc3a,Pacs2,Pik3c3,Pik3c3,Psen1,Rab1a,Rab23,Rab33b,Rab7,Rb1cc1,Rb1cc1,Rufy4,Sting1,Sting1,Stx12,Synpo2,Tcirg1,Tmem41b,Trp53inp2,Ubqln1,Ulk1,Ulk1,Vmp1,Wdr45,Wdr45b,Wipi1,Wipi2,Nsfl1c,Rab1a,Pik3c3,Atg101,Rab23,Atg7,Rab1b,Gabarapl1,Atg12,Becn1,Emc6,Elapor1,Ubqln2,Atg16l1,Ubxn2b,Atg3,Trp53inp1,Ulk2,Rab43,Ubxn2a,Rab19,Atg2b,Trp53inp2,Map1lc3a,Atg2a,Becn2,Sting1,Map1lc3b,Atg14,Ubqln1,Rufy4,Gabarapl2,Atg5,Ulk1,Rb1cc1,Gabarap
GO:0000048	Ggt1,Ggt5,Ggt1,Ggt5,Ggt7
