	Description	UniProtID
0610005C13Rik	RIKEN cDNA 0610005C13 gene	MGI:1918911
0610006L08Rik	RIKEN cDNA 0610006L08 gene	MGI:1923503
0610008J02Rik	RIKEN cDNA 0610008J02 gene	MGI:1925547
0610009B22Rik	RIKEN cDNA 0610009B22 gene	MGI:1913300
0610009E02Rik	RIKEN cDNA 0610009E02 gene	MGI:3698435
0610009F21Rik	RIKEN cDNA 0610009F21 gene	MGI:1918921
0610009K14Rik	RIKEN cDNA 0610009K14 gene	MGI:1918931
0610009L18Rik	RIKEN cDNA 0610009L18 gene	MGI:1914088
0610010K14Rik	RIKEN cDNA 0610010K14 gene	MGI:1915609
0610012D04Rik	RIKEN cDNA 0610012D04 gene	MGI:1918926
0610012E21Rik	RIKEN cDNA 0610012E21 gene	MGI:1925548
0610012G03Rik	RIKEN cDNA 0610012G03 gene	MGI:1913301
0610025J13Rik	RIKEN cDNA 0610025J13 gene	MGI:1915618
0610030E20Rik	RIKEN cDNA 0610030E20 gene	MGI:1915614
0610031C06Rik	RIKEN cDNA 0610031C06 gene	MGI:1925549
0610031I08Rik	RIKEN cDNA 0610031I08 gene	MGI:1921093
0610031O16Rik	RIKEN cDNA 0610031O16 gene	MGI:1915619
0610033I19Rik	RIKEN cDNA 0610033I19 gene	MGI:1925551
0610033M10Rik	RIKEN cDNA 0610033M10 gene	MGI:1921343
0610033P13Rik	RIKEN cDNA 0610033P13 gene	MGI:1925613
0610037L18Rik	RIKEN cDNA 0610037L18 gene	MGI:1925614
0610038B21Rik	RIKEN cDNA 0610038B21 gene	MGI:1917595
0610039G09Rik	RIKEN cDNA 0610039G09 gene	MGI:1922649
0610039H22Rik	RIKEN cDNA 0610039H22 gene	MGI:1915647
0610039K10Rik	RIKEN cDNA 0610039K10 gene	MGI:1915636
0610040A22Rik	RIKEN cDNA 0610040A22 gene	MGI:1915626
0610040B10Rik	RIKEN cDNA 0610040B10 gene	MGI:1914922
0610040F04Rik	RIKEN cDNA 0610040F04 gene	MGI:1922644
0610040J01Rik	RIKEN cDNA 0610040J01 gene	MGI:1923511
0610042B02Rik	RIKEN cDNA 0610042B02 gene	MGI:1918938
0610042B23Rik	RIKEN cDNA 0610042B23 gene	MGI:1922652
0610042E11Rik	RIKEN cDNA 0610042E11 gene	MGI:1921345
0610042G04Rik	RIKEN cDNA 0610042G04 gene	MGI:1915630
0610043K17Rik	RIKEN cDNA 0610043K17 gene	MGI:1915650
0710001A04Rik	RIKEN cDNA 0710001A04 gene	MGI:1915652
0710001D07Rik	RIKEN cDNA 0710001D07 gene	MGI:1914929
0710001L09Rik	RIKEN cDNA 0710001L09 gene	MGI:1915664
0710005I21Rik	RIKEN cDNA 0710005I21 gene	MGI:1918942
0710007G10Rik	RIKEN cDNA 0710007G10 gene	MGI:1915659
0710008F09Rik	RIKEN cDNA 0710008F09 gene	MGI:1918947
0910001E24Rik	RIKEN cDNA 0910001E24 gene	MGI:1918945
1010001B22Rik	RIKEN cDNA 1010001B22 gene	MGI:1922653
1010001I08Rik	RIKEN cDNA 1010001I08 gene	MGI:1915683
1100001I12Rik	RIKEN cDNA 1100001I12 gene	MGI:1922655
1110001D16Rik	RIKEN cDNA 1110001D16 gene	MGI:1920975
1110001M07Rik	RIKEN cDNA 1110001M07 gene	MGI:1915702
1110002E22Rik	RIKEN cDNA 1110002E22 gene	MGI:1915066
1110002J07Rik	RIKEN cDNA 1110002J07 gene	MGI:1915738
1110002L01Rik	RIKEN cDNA 1110002L01 gene	MGI:1915821
1110002O04Rik	RIKEN cDNA 1110002O04 gene	MGI:1915733
1110003F02Rik	RIKEN cDNA 1110003F02 gene	MGI:1915716
1110003F10Rik	RIKEN cDNA 1110003F10 gene	MGI:1915726
1110004F10Rik	RIKEN cDNA 1110004F10 gene	MGI:1929274
1110004M10Rik	RIKEN cDNA 1110004M10 gene	MGI:1915714
1110006E14Rik	RIKEN cDNA 1110006E14 gene	MGI:1923536
1110007E10Rik	RIKEN cDNA 1110007E10 gene	MGI:1915732
1110008E08Rik	RIKEN cDNA 1110008E08 gene	MGI:1915750
1110013H19Rik	RIKEN cDNA 1110013H19 gene	MGI:1915772
1110013I04Rik	RIKEN cDNA 1110013I04 gene	MGI:1915879
1110014L15Rik	RIKEN cDNA 1110014L15 gene	MGI:1913377
1110015O18Rik	RIKEN cDNA 1110015O18 gene	MGI:1915766
1110017D15Rik	RIKEN cDNA 1110017D15 gene	MGI:1920971
1110018F16Rik	RIKEN cDNA 1110018F16 gene	MGI:1915844
1110018N20Rik	RIKEN cDNA 1110018N20 gene	MGI:1915753
1110019B22Rik	RIKEN cDNA 1110019B22 gene	MGI:1915779
1110019B24Rik	RIKEN cDNA 1110019B24 gene	MGI:2443389
1110019D14Rik	RIKEN cDNA 1110019D14 gene	MGI:1923561
1110020A21Rik	RIKEN cDNA 1110020A21 gene	MGI:1915781
1110020C17Rik	RIKEN cDNA 1110020C17 gene	MGI:1915834
1110021P09Rik	RIKEN cDNA 1110021P09 gene	MGI:1915850
1110025L11Rik	RIKEN cDNA 1110025L11 gene	MGI:1915887
1110025M09Rik	RIKEN cDNA 1110025M09 gene	MGI:1915885
1110028F11Rik	RIKEN cDNA 1110028F11 gene	MGI:1915940
1110028F18Rik	RIKEN cDNA 1110028F18 gene	MGI:1915942
1110032A03Rik	RIKEN cDNA 1110032A03 gene	MGI:1915971
1110032F04Rik	RIKEN cDNA 1110032F04 gene	MGI:1915975
1110032L06Rik	RIKEN cDNA 1110032L06 gene	MGI:1915977
1110034N17Rik	RIKEN cDNA 1110034N17 gene	MGI:2147638
1110035D15Rik	RIKEN cDNA 1110035D15 gene	MGI:1915934
1110035E04Rik	RIKEN cDNA 1110035E04 gene	MGI:1915922
1110035H17Rik	RIKEN cDNA 1110035H17 gene	MGI:1915936
1110036E04Rik	RIKEN cDNA 1110036E04 gene	MGI:1915947
1110037P09Rik	RIKEN cDNA 1110037P09 gene	MGI:1916001
1110038B12Rik	RIKEN cDNA 1110038B12 gene	MGI:1916013
1110038F14Rik	RIKEN cDNA 1110038F14 gene	MGI:2152337
1110046J04Rik	RIKEN cDNA 1110046J04 gene	MGI:1916058
1110050P16Rik	RIKEN cDNA 1110050P16 gene	MGI:1916041
1110051M20Rik	RIKEN cDNA 1110051M20 gene	MGI:1915079
