	UniProtID	Description	GO_Terms
NUDT4B	A0A024RBG1	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	GO:0003723;GO:0005829;GO:0008486;GO:0046872;GO:0052840;GO:0052842
IGLV4-69	A0A075B6H9	Immunoglobulin lambda variable 4-69	GO:0002250;GO:0005886;GO:0019814;GO:0005615;GO:0006955;GO:0002377
IGLV8-61	A0A075B6I0	Immunoglobulin lambda variable 8-61	GO:0002250;GO:0005886;GO:0019814;GO:0006955;GO:0002377;GO:0005615
IGLV4-60	A0A075B6I1	Immunoglobulin lambda variable 4-60	GO:0002250;GO:0005886;GO:0019814;GO:0002377;GO:0005615;GO:0006955
IGLV10-54	A0A075B6I4	Immunoglobulin lambda variable 10-54	GO:0002250;GO:0005886;GO:0019814;GO:0006955;GO:0005615;GO:0002377
IGLV7-46	A0A075B6I9	Immunoglobulin lambda variable 7-46	GO:0002250;GO:0005886;GO:0019814;GO:0005615;GO:0002377;GO:0006955
IGLV5-37	A0A075B6J1	Immunoglobulin lambda variable 5-37	GO:0002250;GO:0005886;GO:0019814;GO:0002377;GO:0006955;GO:0005615
IGLV3-22	A0A075B6J6	Immunoglobulin lambda variable 3-22	GO:0002250;GO:0005886;GO:0019814;GO:0002377;GO:0006955;GO:0005615
IGLV2-18	A0A075B6J9	Immunoglobulin lambda variable 2-18	GO:0002250;GO:0005886;GO:0019814;GO:0005615;GO:0006955;GO:0002377
IGLV3-16	A0A075B6K0	Immunoglobulin lambda variable 3-16	GO:0002250;GO:0005886;GO:0019814;GO:0006955;GO:0005615;GO:0002377
IGLV3-12	A0A075B6K2	Immunoglobulin lambda variable 3-12	GO:0002250;GO:0005886;GO:0019814;GO:0002377;GO:0006955;GO:0005615
IGLV3-10	A0A075B6K4	Immunoglobulin lambda variable 3-10	GO:0002250;GO:0005886;GO:0019814;GO:0005615;GO:0002377;GO:0006955
IGLV3-9	A0A075B6K5	Immunoglobulin lambda variable 3-9	GO:0002250;GO:0005886;GO:0006955;GO:0002377;GO:0005615
IGLV4-3	A0A075B6K6	Immunoglobulin lambda variable 4-3	GO:0002250;GO:0005886;GO:0019814;GO:0006955;GO:0005615;GO:0002377
TRBV19	A0A075B6N1	T cell receptor beta variable 19	GO:0002250;GO:0042101
TRBV20-1	A0A075B6N2	T cell receptor beta variable 20-1	GO:0002250;GO:0042101
TRBV24-1	A0A075B6N3	T cell receptor beta variable 24-1	GO:0002250;GO:0042101
TRBV25-1	A0A075B6N4	T cell receptor beta variable 25-1	GO:0002250;GO:0042101
IGKV2-28	A0A075B6P5	Immunoglobulin kappa variable 2-28	GO:0005576;GO:0005886;GO:0006898;GO:0006956;GO:0006958;GO:0019814;GO:0030449;GO:0038095;GO:0038096;GO:0050776;GO:0050900;GO:0002377;GO:0006955;GO:0005615
TRGV2	A0A075B6R0	T cell receptor gamma variable 2	GO:0002250;GO:0042101;GO:0045087;GO:0009897
TRGJ1	A0A075B6S0	T cell receptor gamma joining 1	GO:0002250;GO:0042101
IGKV2D-29	A0A075B6S2	Immunoglobulin kappa variable 2D-29	GO:0002250;GO:0005886;GO:0019814;GO:0006955;GO:0002377;GO:0005615
IGKV1D-17	A0A075B6S4	Immunoglobulin kappa variable 1D-17	GO:0002250;GO:0005886;GO:0019814;GO:0005615;GO:0002377;GO:0006955
